REGISTRO ANS;TIPO PLANO;ABRANGENCIA;ACOMODAÇÃO;SEGMENTAÇÃO;FATOR MODERADOR;FAIXA; VALOR ;CONSULTA;EXAME;FRANQUIA
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 236,94 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 236,94 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 236,94 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 265,36 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 297,24 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 345,54 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 397,38 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 476,85 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 596,10 ;50%;30%; 595,00 
493813225;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 663,08 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 315,90 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 315,90 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 315,90 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 353,79 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 396,29 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 460,68 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 529,84 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 635,80 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 794,82 ;50%;30%; 595,00 
493814223;COLETIVO EMPRESARIAL;REGIONAL (GRUPO DE 41 MUNICIPIOS);APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 884,17 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 314,85 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 314,85 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 314,85 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 352,64 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 394,94 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 459,16 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 528,05 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 633,64 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 792,05 ;50%;30%; 595,00 
466994121;COLETIVO EMPRESARIAL;ESTADUAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 881,07 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 419,78 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 419,78 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 419,78 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 470,15 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 526,59 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 612,20 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 704,03 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 844,82 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 1.056,03 ;50%;30%; 595,00 
466997125;COLETIVO EMPRESARIAL;ESTADUAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 1.174,73 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 417,43 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 417,43 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 417,43 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 467,52 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 523,61 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 608,75 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 700,07 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 840,08 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 1.050,11 ;50%;30%; 595,00 
465829119;COLETIVO EMPRESARIAL;NACIONAL;ENFERMARIA;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 1.168,14 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 0 a 18 anos.; 560,90 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 19 a 23 anos.; 560,90 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 24 a 28 anos.; 560,90 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 29 a 33 anos.; 628,21 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 34 a 38 anos.; 703,59 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 39 a 43 anos.; 818,00 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 44 a 48 anos.; 940,70 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 49 a 53 anos.; 1.128,84 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;De 54 a 58 anos.; 1.411,04 ;50%;30%; 595,00 
465850117;COLETIVO EMPRESARIAL;NACIONAL;APARTAMENTO;AMBULATORIAL + HOSPITALAR + OBSTETRÍCIA;PARTICIPATIVO;Acima de 59 anos.; 1.569,70 ;50%;30%; 595,00 
